day,bm_unit,lead_party,mwh,cost_gbp
2026-09-01,E_ABRTW-1,Npower Commercial Gas Limited,100.2,9117.0
2026-09-01,E_BABAW-1,Statkraft Markets Gmbh,193.4,16262.0
2026-09-01,E_BLARW-1,Erova Energy Limited,194.4,6855.0
2026-09-01,E_BNWKW-1,Eneco Energy Trade,95.4,8494.0
2026-09-01,E_BRYBW-1,Statkraft Markets Gmbh,198.5,18082.0
2026-09-01,E_BTUIW-2,SP Renewables (UK) Limited,73.9,6609.0
2026-09-01,E_BTUIW-3,SP Renewables (UK) Limited,457.6,5024.0
2026-09-01,E_CLDRW-1,Vattenfall Energy Trading,114.3,10513.0
2026-09-01,E_GRGRW-1,Evolve Energy Supply Limited,259.3,18154.0
2026-09-01,E_HRHLW-1,SP Renewables (UK) Limited,80.0,6462.0
2026-09-01,E_MOYEW-1,Eneco Energy Trade,209.8,19297.0
2026-09-01,E_TULWW-1,Eneco Energy Trade,50.2,4472.0
2026-09-01,T_AKGLW-3,AIK2A Sustainable Energy Ltd,461.9,23050.0
2026-09-01,T_BDCHW-1,RWE Generation UK plc,144.6,11192.0
2026-09-01,T_BEATO-4,Beatrice Offshore Windfarm Ltd,45.3,4487.0
2026-09-01,T_BHLAW-1,SSE Generation Ltd,289.8,24603.0
2026-09-01,T_BLLA-2,SP Renewables (UK) Limited,176.0,14212.0
2026-09-01,T_BROCW-1,Smartestenergy Limited,185.5,7233.0
2026-09-01,T_CRDEW-1,EDF Energy Customers Limited,152.6,8240.0
2026-09-01,T_CRDEW-2,EDF Energy Customers Limited,129.4,6985.0
2026-09-01,T_CREAW-1,Creag Riabhach Wind Farm Ltd,405.2,23504.0
2026-09-01,T_CRGHW-1,Statkraft Markets Gmbh,248.2,19110.0
2026-09-01,T_CUMHW-1,Uniper UK Limited,331.9,5032.0
2026-09-01,T_DALQW-1,Statkraft Markets Gmbh,239.6,17009.0
2026-09-01,T_DOUGW-1,Erova Energy Limited,264.3,7928.0
2026-09-01,T_DRSLW-1,SP Renewables (UK) Limited,149.9,12102.0
2026-09-01,T_DUNGW-1,Dunmaglass Wind Farm Limited,425.0,38722.0
2026-09-01,T_EDINW-1,Vattenfall Wind Power Ltd,96.3,10589.0
2026-09-01,T_EWHLW-1,SP Renewables (UK) Limited,104.5,8440.0
2026-09-01,T_GLNKW-1,EDF Energy Customers Limited,329.3,13304.0
2026-09-01,T_GLWSW-1,GALAWHISTLE WIND FARM,160.2,14276.0
2026-09-01,T_GORDW-1,SSE Generation Ltd,277.9,22952.0
2026-09-01,T_GORDW-2,SSE Generation Ltd,325.3,5091.0
2026-09-01,T_GRIFW-1,Griffin Wind Farm Ltd,104.9,9363.0
2026-09-01,T_GRIFW-2,Griffin Wind Farm Ltd,103.8,9264.0
2026-09-01,T_HALSW-1,SP Renewables (UK) Limited,308.7,3547.0
2026-09-01,T_KENNW-1,Kennoxhead Wind Farm Limited,424.3,13330.0
2026-09-01,T_KPMRW-1,OnPath Energy Limited,774.3,38002.0
2026-09-01,T_KYPEW-1,Kype Extension Wind Farm Ltd,467.8,16374.0
2026-09-01,T_LCLTW-1,Eneco Energy Trade,314.9,28025.0
2026-09-01,T_LIMKW-1,Limekiln Extension Ltd,1219.3,36579.0
2026-09-01,T_MIDMW-1,OnPath Energy Limited,323.1,16747.0
2026-09-01,T_MKHLW-1,SP Renewables (UK) Limited,36.4,3253.0
2026-09-01,T_MOWEO-1,Moray Offshore Wind East Ltd,4220.0,67129.0
2026-09-01,T_MOWEO-2,Moray Offshore Wind East Ltd,3556.5,57579.0
2026-09-01,T_MOWEO-3,Moray Offshore Wind East Ltd,3629.0,58706.0
2026-09-01,T_MOWWO-1,Moray Offshore Wind West Ltd,723.3,11024.0
2026-09-01,T_MOWWO-2,Moray Offshore Wind West Ltd,722.9,11021.0
2026-09-01,T_MOWWO-3,Moray Offshore Wind West Ltd,1954.9,30578.0
2026-09-01,T_MOWWO-4,Moray Offshore Wind West Ltd,3395.1,112140.0
2026-09-01,T_MYGPW-1,Minnygap Energy Limited,73.1,5554.0
2026-09-01,T_NNGAO-1,Neart Na Gaoithe Offshore Wind,1021.4,54594.0
2026-09-01,T_NOKYW-1,North Kyle Wind farm Ltd,396.0,5936.0
2026-09-01,T_NOKYW-2,North Kyle Wind farm Ltd,394.7,5917.0
2026-09-01,T_SAKNW-1,Sandy Knowe Wind Farm Ltd,327.3,13094.0
2026-09-01,T_SGRWO-1,Seagreen Wind Energy Limited,3201.2,44497.0
2026-09-01,T_SGRWO-2,Seagreen Wind Energy Limited,835.7,11617.0
2026-09-01,T_SGRWO-3,Seagreen Wind Energy Limited,1828.1,25410.0
2026-09-01,T_SGRWO-4,Seagreen Wind Energy Limited,1649.8,22933.0
2026-09-01,T_SGRWO-5,Seagreen Wind Energy Limited,773.3,10749.0
2026-09-01,T_SGRWO-6,Seagreen Wind Energy Limited,4570.1,63525.0
2026-09-01,T_SOKYW-1,South Kyle Wind Farm Limited,956.9,45933.0
2026-09-01,T_STLGW-1,Stronelairg Windfarm Limited,383.4,32554.0
2026-09-01,T_STLGW-2,Stronelairg Windfarm Limited,431.7,36654.0
2026-09-01,T_STLGW-3,Stronelairg Windfarm Limited,244.6,20764.0
2026-09-01,T_STRNW-1,Strathy Wind Farm Limited,136.3,11275.0
2026-09-01,T_TWSHW-1,Twentyshilling Limited,230.5,6492.0
2026-09-01,T_VKNGW-1,Viking Energy Wind Farm LLP,1242.8,17922.0
2026-09-01,T_VKNGW-2,Viking Energy Wind Farm LLP,1306.5,18840.0
2026-09-01,T_VKNGW-3,Viking Energy Wind Farm LLP,1070.3,15433.0
2026-09-01,T_VKNGW-4,Viking Energy Wind Farm LLP,1410.6,20340.0
2026-09-01,T_WDRGW-1,Windy Rig Wind Farm Limited,235.3,6754.0
2026-09-01,T_WHIHW-1,Whiteside Hill,60.1,5411.0
2026-09-01,T_WHILW-1,SP Renewables (UK) Limited,54.3,4899.0
